sec,fargo,desert,maine,modernBaseball,nyny,pnw,texas
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
85,0,0,124,27,96,0,0
283,0,0,275,190,246,0,65
468,26,24,395,362,372,0,22
607,34,194,470,496,470,18,98
688,98,370,488,577,528,117,239
698,70,511,449,588,557,55,354
643,174,596,357,543,475,362,730
526,340,619,223,438,340,483,690
355,301,578,72,286,172,370,579
160,154,471,0,111,18,317,150
7,84,319,0,0,0,85,143
0,0,138,0,0,0,146,31
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
70,0,0,131,19,125,0,0
213,0,0,283,194,298,0,50
352,85,17,405,364,447,0,119
494,295,206,480,472,548,55,488
442,419,342,500,561,590,209,645
281,496,424,455,553,563,348,739
157,517,598,364,514,481,447,769
205,480,617,231,369,343,193,724
122,389,596,51,259,175,371,612
41,254,492,0,69,20,275,443
2,96,336,0,0,0,126,236
0,0,149,0,0,0,9,36
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
8,0,0,98,5,117,0,0
7,0,0,219,58,287,0,21
33,145,30,383,146,192,0,4
40,301,210,84,256,18,33,68
66,427,344,244,192,20,57,43
159,504,531,431,200,481,198,253
134,525,578,346,167,467,243,143
133,488,560,100,190,334,326,240
113,316,604,43,173,168,348,251
59,258,500,0,16,13,263,100
2,98,343,0,0,0,229,76
0,0,151,0,0,0,123,9
0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
13,0,0,59,13,50,0,0
23,0,0,83,10,161,0,11
16,45,21,271,18,243,0,40
27,306,172,184,85,505,35,35
70,432,318,274,27,209,206,106
32,502,441,66,33,422,144,140
82,523,503,106,26,102,160,190
123,487,377,120,28,166,222,227
265,396,434,32,9,96,402,146
33,194,204,0,31,8,244,260
1,55,231,0,0,0,299,107
0,0,74,0,0,0,154,40
0,0,0,0,0,0,9,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
37,0,0,90,14,48,0,0
41,0,0,213,31,106,0,20
165,153,34,320,77,207,0,77
411,311,214,95,392,227,21,143
158,437,394,99,590,242,211,412
126,509,536,141,360,242,296,757
78,266,623,121,459,185,296,785
56,266,647,74,464,132,436,744
35,395,605,44,248,42,487,634
13,129,502,0,74,10,421,463
2,42,347,0,0,0,310,254
0,0,159,0,0,0,161,46
0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
105,0,0,137,28,126,0,0
312,0,0,225,177,321,0,61
502,144,37,421,388,473,0,316
646,295,198,447,522,576,40,524
729,417,406,269,605,551,220,686
738,492,519,485,620,412,305,785
683,512,627,392,575,513,459,814
563,476,650,254,466,55,17,768
391,311,610,96,312,31,495,652
187,184,507,0,133,11,56,478
13,67,352,0,0,0,316,262
0,0,164,0,0,0,100,48
